trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#DallasCowboys,http://twitter.com/search?q=%23DallasCowboys,NA,%23DallasCowboys,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
#LaguneroPrimero,http://twitter.com/search?q=%23LaguneroPrimero,NA,%23LaguneroPrimero,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
#LosMasBuscados,http://twitter.com/search?q=%23LosMasBuscados,NA,%23LosMasBuscados,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
#SNFPlaydoit,http://twitter.com/search?q=%23SNFPlaydoit,NA,%23SNFPlaydoit,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
#FTTB,http://twitter.com/search?q=%23FTTB,NA,%23FTTB,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Lula,http://twitter.com/search?q=Lula,NA,Lula,1010511,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Prescott,http://twitter.com/search?q=Prescott,NA,Prescott,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Jill Biden,http://twitter.com/search?q=%22Jill+Biden%22,NA,%22Jill+Biden%22,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Lions,http://twitter.com/search?q=Lions,NA,Lions,77502,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Brasilia,http://twitter.com/search?q=Brasilia,NA,Brasilia,1212030,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Rams,http://twitter.com/search?q=Rams,NA,Rams,36314,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Playoffs,http://twitter.com/search?q=Playoffs,NA,Playoffs,127979,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Congreso,http://twitter.com/search?q=Congreso,NA,Congreso,227803,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Ferran,http://twitter.com/search?q=Ferran,NA,Ferran,33236,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Capitolio,http://twitter.com/search?q=Capitolio,NA,Capitolio,91430,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Commanders,http://twitter.com/search?q=Commanders,NA,Commanders,27286,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Tyler,http://twitter.com/search?q=Tyler,NA,Tyler,63043,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Steelers,http://twitter.com/search?q=Steelers,NA,Steelers,119993,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Brady,http://twitter.com/search?q=Brady,NA,Brady,36712,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Jair Bolsonaro,http://twitter.com/search?q=%22Jair+Bolsonaro%22,NA,%22Jair+Bolsonaro%22,124849,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Washington,http://twitter.com/search?q=Washington,NA,Washington,93623,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Araujo,http://twitter.com/search?q=Araujo,NA,Araujo,40961,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Barça,http://twitter.com/search?q=Bar%C3%A7a,NA,Bar%C3%A7a,90853,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Josh,http://twitter.com/search?q=Josh,NA,Josh,134034,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Savic,http://twitter.com/search?q=Savic,NA,Savic,21406,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
yuta,http://twitter.com/search?q=yuta,NA,yuta,62915,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Seattle,http://twitter.com/search?q=Seattle,NA,Seattle,30759,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Detroit,http://twitter.com/search?q=Detroit,NA,Detroit,24302,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Reprobable,http://twitter.com/search?q=Reprobable,NA,Reprobable,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Kessie,http://twitter.com/search?q=Kessie,NA,Kessie,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Packers,http://twitter.com/search?q=Packers,NA,Packers,40331,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Jets,http://twitter.com/search?q=Jets,NA,Jets,78077,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Chargers,http://twitter.com/search?q=Chargers,NA,Chargers,37983,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Barcelona,http://twitter.com/search?q=Barcelona,NA,Barcelona,112794,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
El Paso,http://twitter.com/search?q=%22El+Paso%22,NA,%22El+Paso%22,192578,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Rubius,http://twitter.com/search?q=Rubius,NA,Rubius,16321,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Pumas,http://twitter.com/search?q=Pumas,NA,Pumas,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Pats,http://twitter.com/search?q=Pats,NA,Pats,21902,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Busquets,http://twitter.com/search?q=Busquets,NA,Busquets,18895,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Dolphins,http://twitter.com/search?q=Dolphins,NA,Dolphins,64803,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Mac Jones,http://twitter.com/search?q=%22Mac+Jones%22,NA,%22Mac+Jones%22,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Pedri,http://twitter.com/search?q=Pedri,NA,Pedri,40775,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Texans,http://twitter.com/search?q=Texans,NA,Texans,68300,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Alberto García Lucio,http://twitter.com/search?q=%22Alberto+Garc%C3%ADa+Lucio%22,NA,%22Alberto+Garc%C3%ADa+Lucio%22,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Gavi,http://twitter.com/search?q=Gavi,NA,Gavi,23982,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Tomlin,http://twitter.com/search?q=Tomlin,NA,Tomlin,24371,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Talavera,http://twitter.com/search?q=Talavera,NA,Talavera,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Salvio,http://twitter.com/search?q=Salvio,NA,Salvio,NA,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
Miami,http://twitter.com/search?q=Miami,NA,Miami,66649,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
David Bowie,http://twitter.com/search?q=%22David+Bowie%22,NA,%22David+Bowie%22,42449,Mexico,23424900,2023-01-09T06:51:07Z,2023-01-07T17:48:02Z
