trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#MuseEnAlfa,http://twitter.com/search?q=%23MuseEnAlfa,NA,%23MuseEnAlfa,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#CodereEsRayado,http://twitter.com/search?q=%23CodereEsRayado,NA,%23CodereEsRayado,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#RayadosVIDUSA,http://twitter.com/search?q=%23RayadosVIDUSA,NA,%23RayadosVIDUSA,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Starlight,http://twitter.com/search?q=Starlight,NA,Starlight,11515,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Uprising,http://twitter.com/search?q=Uprising,NA,Uprising,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Knights of Cydonia,http://twitter.com/search?q=%22Knights+of+Cydonia%22,NA,%22Knights+of+Cydonia%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
The National,http://twitter.com/search?q=%22The+National%22,NA,%22The+National%22,216970,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,NA,%23FelizMiercoles,16434,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#PalabrasHorrendas,http://twitter.com/search?q=%23PalabrasHorrendas,NA,%23PalabrasHorrendas,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Milan,http://twitter.com/search?q=Milan,NA,Milan,74261,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Tove,http://twitter.com/search?q=Tove,NA,Tove,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Chuty,http://twitter.com/search?q=Chuty,NA,Chuty,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Fall Out Boy,http://twitter.com/search?q=%22Fall+Out+Boy%22,NA,%22Fall+Out+Boy%22,15936,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Chapo,http://twitter.com/search?q=Chapo,NA,Chapo,34226,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Red Bull,http://twitter.com/search?q=%22Red+Bull%22,NA,%22Red+Bull%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Davide Nicola,http://twitter.com/search?q=%22Davide+Nicola%22,NA,%22Davide+Nicola%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Ángela Aguilar,http://twitter.com/search?q=%22%C3%81ngela+Aguilar%22,NA,%22%C3%81ngela+Aguilar%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Catalina Creel,http://twitter.com/search?q=%22Catalina+Creel%22,NA,%22Catalina+Creel%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Lilly Téllez,http://twitter.com/search?q=%22Lilly+T%C3%A9llez%22,NA,%22Lilly+T%C3%A9llez%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Alexis Vega,http://twitter.com/search?q=%22Alexis+Vega%22,NA,%22Alexis+Vega%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Florian,http://twitter.com/search?q=Florian,NA,Florian,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Rubén Darío,http://twitter.com/search?q=%22Rub%C3%A9n+Dar%C3%ADo%22,NA,%22Rub%C3%A9n+Dar%C3%ADo%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Interior,http://twitter.com/search?q=Interior,NA,Interior,87925,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Gloria Trevi,http://twitter.com/search?q=%22Gloria+Trevi%22,NA,%22Gloria+Trevi%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Seungmin,http://twitter.com/search?q=Seungmin,NA,Seungmin,66241,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Carlos Vargas,http://twitter.com/search?q=%22Carlos+Vargas%22,NA,%22Carlos+Vargas%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Memphis,http://twitter.com/search?q=Memphis,NA,Memphis,49148,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Kiev,http://twitter.com/search?q=Kiev,NA,Kiev,34025,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Microsoft,http://twitter.com/search?q=Microsoft,NA,Microsoft,70329,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Chumel,http://twitter.com/search?q=Chumel,NA,Chumel,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Karely,http://twitter.com/search?q=Karely,NA,Karely,15450,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Cienfuegos,http://twitter.com/search?q=Cienfuegos,NA,Cienfuegos,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Metallica,http://twitter.com/search?q=Metallica,NA,Metallica,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Bielsa,http://twitter.com/search?q=Bielsa,NA,Bielsa,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Luisito Comunica,http://twitter.com/search?q=%22Luisito+Comunica%22,NA,%22Luisito+Comunica%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
hobi,http://twitter.com/search?q=hobi,NA,hobi,137724,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Gera,http://twitter.com/search?q=Gera,NA,Gera,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
El Financiero,http://twitter.com/search?q=%22El+Financiero%22,NA,%22El+Financiero%22,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Tata,http://twitter.com/search?q=Tata,NA,Tata,27837,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Zendejas,http://twitter.com/search?q=Zendejas,NA,Zendejas,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Derechos Humanos,http://twitter.com/search?q=%22Derechos+Humanos%22,NA,%22Derechos+Humanos%22,26447,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Epigmenio,http://twitter.com/search?q=Epigmenio,NA,Epigmenio,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Greta,http://twitter.com/search?q=Greta,NA,Greta,242831,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
iPod,http://twitter.com/search?q=iPod,NA,iPod,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
Guzmán,http://twitter.com/search?q=Guzm%C3%A1n,NA,Guzm%C3%A1n,26100,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
seokjin,http://twitter.com/search?q=seokjin,NA,seokjin,269091,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#YadixAñoChino,http://twitter.com/search?q=%23YadixA%C3%B1oChino,NA,%23YadixA%C3%B1oChino,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#SuperJuniorTheLastManStanding,http://twitter.com/search?q=%23SuperJuniorTheLastManStanding,NA,%23SuperJuniorTheLastManStanding,24869,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#RebelMoon,http://twitter.com/search?q=%23RebelMoon,NA,%23RebelMoon,16220,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
#AtizapánDeZaragoza,http://twitter.com/search?q=%23Atizap%C3%A1nDeZaragoza,NA,%23Atizap%C3%A1nDeZaragoza,NA,Mexico,23424900,2023-01-19T01:48:11Z,2023-01-17T17:04:16Z
